字,聲母,介音,韻腹,韻尾,聲調,注
墩,t,,u,n,1,
壁,p,j,a,ʔ,7,白
壁,p,,i,ʔ,7,文
壑,h,,o,ʔ,7,白
壑,tʰ,,o,ʔ,7,文
壤,l,,o,ŋ,3,
士,s,,ɿ,,6,
壬,l,,i,n,2,
壯,ts,,o,ŋ,5,
聲,s,,a,ŋ,1,白
聲,ɕ,,i,n,1,文
聲,s,,ɛ,n,1,新
殼,kʰ,,o,ʔ,7,
壺,f,,u,,2,
處,tʰ,,u,,3,
處,tʰ,,u,,5,
備,pʰ,,i,,6,
復,f,,u,ʔ,8,
夏,h,,a,,6,
夔,kʰ,w,i,,2,
夕,ɕ,,i,ʔ,7,
外,,w,a,i,6,
夙,ɕ,j,u,ʔ,7,
多,t,,o,,1,
夜,,j,a,,6,
夠,k,,ɛ,u,5,
大,h,,a,i,6,白
大,tʰ,,a,i,6,文
天,tʰ,j,ɛ,n,1,
太,tʰ,,a,i,5,
夫,f,,u,,1,
夭,,j,a,u,3,
央,,j,o,ŋ,1,
失,ɕ,,i,t,7,
頭,h,,ɛ,u,2,白
頭,tʰ,,ɛ,u,2,文
夷,,,i,,2,
夸,kʰ,w,a,,1,
夾,k,,a,t,7,
奪,tʰ,w,o,t,8,
奇,tɕʰ,,i,,2,
奈,l,,a,i,6,
奉,f,,u,ŋ,6,
奮,f,,u,n,5,
奎,kʰ,w,i,,1,
奎,k,w,i,,5,
奏,ts,,ɛ,u,5,
契,tɕʰ,,i,,5,
奔,p,,u,n,1,
獎,tɕ,j,o,ŋ,3,
套,tʰ,,a,u,5,
奚,ɕ,,i,,2,
奠,tʰ,j,ɛ,n,6,
奢,s,,a,,1,
奧,,,a,u,5,
女,n,j,ɛ,,3,白
女,n,,i,,3,文
奴,l,,u,,2,
奶,l,,a,i,2,白
奶,l,,a,i,3,
奸,k,,a,n,1,
好,h,,a,u,3,
好,h,,a,u,5,
如,l,,u,,2,文
如,,,ɛ,,2,白
妃,f,,i,,1,
妄,,w,o,ŋ,6,
婦,f,,u,,6,
妊,l,,i,n,3,
妒,t,,u,,5,
妓,tɕʰ,,i,,6,
妖,,j,a,u,1,
妙,m,j,a,u,6,
妥,tʰ,,o,,3,
妨,f,,o,ŋ,2,
妹,m,,i,,6,
妹,m,,o,i,6,
妻,tɕʰ,,i,,1,
妾,tɕʰ,j,ɛ,t,7,
