字,聲母,介音,韻腹,韻尾,聲調,注
國,k,u,ɛ,ʔ,7,
圖,tʰ,,u,,2,
圓,,y,o,n,2,
圈,tɕʰ,y,o,n,1,
土,tʰ,,u,,3,
聖,ɕ,,i,n,5,
在,tsʰ,,a,i,6,
圭,k,u,i,,1,
地,tʰ,,i,,6,
場,tʰ,,o,ŋ,2,
均,tɕ,,y,n,1,
壞,f,,a,i,6,
坐,tsʰ,,o,,6,
坑,kʰ,,a,ŋ,1,白
坑,kʰ,,ɛ,n,1,
塊,kʰ,u,a,i,5,
堅,tɕ,i,ɛ,n,1,
坛,tʰ,,a,n,2,
墳,f,,ə,n,2,
墜,tʰ,u,i,,6,白
坡,p,,o,,1,
坤,kʰ,u,ə,n,1,
坦,tʰ,,a,n,3,
坳,,,a,u,5,
垂,s,u,i,,2,
垒,l,u,i,,3,
垢,k,,ɛ,u,5,
垣,,y,o,n,2,
墾,kʰ,,ɛ,n,3,
墊,tʰ,i,ɛ,m,6,
埃,,,a,i,2,
埋,m,,o,i,2,
埋,m,,a,i,2,
城,s,,a,ŋ,2,白
城,ɕ,,i,n,2,
域,,,y,t,7,
培,pʰ,,i,,2,
培,pʰ,,o,i,2,
基,tɕ,,i,,1,
堂,tʰ,,o,ŋ,2,
堆,t,u,o,i,1,
堆,t,u,i,,1,
墮,tʰ,,o,,5,
堤,tʰ,,i,,2,
堪,kʰ,,o,m,1,
堵,t,,u,,3,
塌,tʰ,,a,p,7,
塔,tʰ,,a,p,7,
塞,s,,ɛ,ʔ,7,
填,tʰ,i,ɛ,n,2,
境,tɕ,,i,n,5,
墅,s,,u,,6,
牆,tɕʰ,i,o,ŋ,2,
增,ts,,ɛ,n,1,
墟,ɕ,,i,,1,
墨,m,,ɛ,ʔ,8,
墩,t,u,ə,n,1,
壁,p,i,a,ʔ,7,白
壁,p,,i,ʔ,7,
壑,h,,o,ʔ,7,白
壑,tʰ,,o,ʔ,7,
壤,l,,o,ŋ,3,
士,s,,ɿ,,6,
壬,l,,i,m,2,
壯,ts,,o,ŋ,5,
聲,s,,a,ŋ,1,白
聲,ɕ,,i,n,1,
殼,kʰ,,o,ʔ,7,
壺,f,,u,,2,
處,tʰ,,u,,3,
處,tʰ,,u,,5,
備,pʰ,,i,,6,
复,f,,u,ʔ,8,
夏,h,,a,,6,
夔,kʰ,u,i,,2,
夕,ɕ,,i,ʔ,7,
外,ŋ,,a,,1,白
外,,u,a,i,6,
夙,ɕ,i,u,ʔ,7,
多,t,,o,,1,
夜,,i,a,,6,
够,k,,ɛ,u,5,
大,h,,a,i,6,白
大,tʰ,,a,i,6,
天,tʰ,i,ɛ,n,1,
太,tʰ,,a,i,5,
夫,f,,u,,1,
夭,,i,a,u,3,
央,,i,o,ŋ,1,
失,ɕ,,i,t,7,
頭,h,,ɛ,u,2,白
頭,tʰ,,ɛ,u,2,
夷,,,i,,2,
夸,kʰ,u,a,,1,
夾,k,,a,p,7,
奪,tʰ,u,o,t,8,
奇,tɕʰ,,i,,2,
奈,l,,a,i,6,
奉,f,,u,ŋ,6,
奮,f,,ə,n,5,
奎,kʰ,u,i,,1,
奎,k,u,i,,5,
奏,ts,,ɛ,u,5,
契,tɕʰ,,i,,5,
奔,p,,ə,n,1,
獎,tɕ,i,o,ŋ,3,
套,tʰ,,a,u,5,
奚,ɕ,,i,,2,
奠,tʰ,i,ɛ,n,6,
奢,s,,a,,1,
奧,,,a,u,5,
女,n,i,ɛ,,3,白
奴,l,,u,,2,
奶,l,,a,i,3,
奸,k,,a,n,1,
好,h,,a,u,3,
好,h,,a,u,5,
如,,,ɛ,,2,
妃,f,,ə,i,1,
妄,,u,o,ŋ,6,
婦,f,,u,,6,
妊,l,,i,m,3,
妒,t,,u,,5,
妓,tɕʰ,,i,,6,
妖,,i,a,u,1,
妙,m,i,a,u,6,
妥,tʰ,,o,,3,
妨,f,,o,ŋ,2,
妹,m,,i,,6,
妹,m,,o,i,6,
妻,tɕʰ,,i,,1,
妾,tɕʰ,i,ɛ,p,7,
姊,ts,,ɿ,,3,白
姊,tɕ,,i,,3,
始,ɕ,,i,,3,
姐,tɕ,i,ɛ,,3,
姑,k,,u,,1,
姓,ɕ,i,a,ŋ,5,白
姓,ɕ,,i,n,5,
委,,u,i,,3,
姘,pʰ,,i,n,1,
姚,tʰ,,a,u,2,
姚,,i,a,u,2,
姜,tɕ,i,o,ŋ,1,
姥,m,,u,,3,
姨,,,i,,2,
姬,tɕ,,i,,1,
姻,,,i,n,1,
姿,ts,,ɿ,,1,
威,,u,i,,1,
娃,,u,a,,1,
嬌,tɕ,i,a,u,1,
娑,s,,o,,1,
娘,n,i,o,ŋ,2,
娠,ɕ,,i,n,2,
娩,m,i,ɛ,n,3,
娛,ŋ,,u,,6,
娶,tsʰ,,ɛ,,3,白
娶,tɕʰ,i,ɛ,,3,白
娶,tɕʰ,,i,,5,
婆,pʰ,,o,,2,
婚,f,,ə,n,1,
婢,p,,i,,1,
婪,l,,o,m,2,
嬸,ɕ,,i,m,3,
媒,m,,a,i,2,白
媒,m,,i,,2,
媒,m,,o,i,2,
媚,m,,i,,6,
媾,k,,ɛ,u,5,
嫁,k,,a,,5,
嫂,s,,a,u,3,
嫌,ɕ,i,ɛ,m,2,
嫖,pʰ,i,a,u,2,
嫡,t,,i,ʔ,7,
嫩,l,u,ə,n,6,
嬉,ɕ,,i,,1,
孀,s,,o,ŋ,1,
子,ts,,ɿ,,3,
孑,tɕ,i,ɛ,t,7,
孔,kʰ,,u,ŋ,3,
孕,,,i,n,6,
字,tsʰ,,ɿ,,6,
存,tsʰ,u,ə,n,2,
孫,s,u,ə,n,1,
孝,h,,a,u,5,
孟,m,,ɛ,n,6,
季,tɕ,,i,,5,
孤,k,,u,,1,
學,h,,o,ʔ,8,
孩,h,,o,i,2,
孽,n,i,ɛ,t,7,
寧,n,i,a,ŋ,6,白
寧,l,,i,n,2,
宅,tsʰ,,ɛ,ʔ,7,
宇,,,i,,3,
守,ɕ,i,u,,3,
安,,,o,n,1,
宋,s,,u,ŋ,5,
完,f,,o,n,2,
宕,tʰ,,o,ŋ,6,
宗,ts,,u,ŋ,1,
官,k,u,o,n,1,
宙,tʰ,i,u,,6,
定,tʰ,i,a,ŋ,6,白
定,tʰ,,i,n,6,
宛,,u,o,n,3,
宜,n,,i,,2,
寶,p,,a,u,3,
實,ɕ,,i,t,8,
寵,tʰ,,u,ŋ,3,
審,ɕ,,i,m,3,
